025-09-17 17:05:41,671 - RiskManagerIntegration - WARNING - 🚫 OPERACIÓN BLOQUEADA: forex_price_action_patterns (SELL) - Escenario de mercado no determinado todavía
2025-09-17 17:21:20,176 - RiskManagerIntegration - ERROR - Override values inválidos para SELL: Precio=1.184, estrategia=forex_price_action_patterns SL=1.1836428571428572, TP=1.1847142857142856
2025-09-17 17:21:25,535 - RiskManagerIntegration - ERROR - Override values inválidos para SELL: Precio=1.1838, estrategia=forex_support_resistance_strategy SL=1.1834428571428572, TP=1.1845142857142856
2025-09-17 17:22:02,537 - RiskManager - INFO - APERTURA - Lote size calculado: 26352.55
2025-09-17 17:22:02,537 - RiskManager - INFO -   Calculado con fallback: riesgo=9.79 / pip_risk=0.00037
2025-09-17 17:22:02,537 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 26352.55 - Puede causar P&L extremo
2025-09-17 17:22:13,155 - RiskManager - INFO - APERTURA - Lote size calculado: 23983.27
2025-09-17 17:22:13,155 - RiskManager - INFO -   Calculado con fallback: riesgo=9.59 / pip_risk=0.00040
2025-09-17 17:22:13,155 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 23983.27 - Puede causar P&L extremo
2025-09-17 17:22:13,174 - RiskManager - INFO - APERTURA - Lote size calculado: 23743.44
2025-09-17 17:22:13,174 - RiskManager - INFO -   Calculado con fallback: riesgo=9.50 / pip_risk=0.00040
2025-09-17 17:22:13,174 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 23743.44 - Puede causar P&L extremo
2025-09-17 17:22:13,193 - RiskManager - INFO - APERTURA - Lote size calculado: 23506.00
2025-09-17 17:22:13,193 - RiskManager - INFO -   Calculado con fallback: riesgo=9.40 / pip_risk=0.00040
2025-09-17 17:22:13,195 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 23506.00 - Puede causar P&L extremo
2025-09-17 17:27:22,649 - RiskManager - INFO - APERTURA - Lote size calculado: 27456.19
2025-09-17 17:27:22,650 - RiskManager - INFO -   Calculado con fallback: riesgo=9.81 / pip_risk=0.00036
2025-09-17 17:27:22,650 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 27456.19 - Puede causar P&L extremo
2025-09-17 17:27:28,040 - RiskManager - INFO - APERTURA - Lote size calculado: 28314.20
2025-09-17 17:27:28,040 - RiskManager - INFO -   Calculado con fallback: riesgo=9.71 / pip_risk=0.00034
2025-09-17 17:27:28,040 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 28314.20 - Puede causar P&L extremo
2025-09-17 17:27:33,472 - RiskManager - INFO - APERTURA - Lote size calculado: 27750.75
