Date,Open,High,Low,Close,Volume
2025-09-18 01:52:00,1.1811,1.1811,1.181,1.181,4231.9
2025-09-18 01:53:00,1.181,1.1811,1.1807,1.1808,9000.3
2025-09-18 01:54:00,1.1808,1.1809,1.1807,1.1808,3333.9
2025-09-18 01:55:00,1.1807,1.1809,1.1807,1.1809,1422.2
2025-09-18 01:56:00,1.1808,1.1809,1.1807,1.1808,3745.0
2025-09-18 01:57:00,1.1808,1.1809,1.1807,1.1808,2635.9
2025-09-18 01:58:00,1.1807,1.1811,1.1807,1.181,9185.2
2025-09-18 01:59:00,1.181,1.1811,1.181,1.1811,3548.4
2025-09-18 02:00:00,1.1812,1.1814,1.1812,1.1813,6934.9
2025-09-18 02:01:00,1.1813,1.1814,1.1812,1.1812,6237.1
2025-09-18 02:02:00,1.1813,1.1813,1.1812,1.1812,649.8
2025-09-18 02:03:00,1.1813,1.1813,1.1811,1.1811,1003.9
2025-09-18 02:04:00,1.1812,1.1813,1.1811,1.1813,900.3
2025-09-18 02:05:00,1.1813,1.1813,1.1811,1.1811,7977.5
2025-09-18 02:06:00,1.181,1.1812,1.181,1.1812,2745.0
2025-09-18 02:07:00,1.1811,1.1812,1.1811,1.1812,3384.2
2025-09-18 02:08:00,1.1812,1.1812,1.1811,1.1812,857.3
2025-09-18 02:09:00,1.1812,1.1812,1.1811,1.1812,1200.2
2025-09-18 02:10:00,1.1812,1.1812,1.1811,1.1812,615.5
2025-09-18 02:11:00,1.1812,1.1813,1.1811,1.1812,1453.7
2025-09-18 02:12:00,1.1812,1.1813,1.1811,1.1811,2385.1
2025-09-18 02:13:00,1.1812,1.1813,1.1811,1.1813,864.5
2025-09-18 02:14:00,1.1813,1.1813,1.1812,1.1813,1827.0
2025-09-18 02:15:00,1.1814,1.1814,1.1811,1.1813,9625.5
2025-09-18 02:16:00,1.1812,1.1814,1.1812,1.1813,1095.2
2025-09-18 02:17:00,1.1812,1.1814,1.1812,1.1812,732.1
2025-09-18 02:18:00,1.1814,1.1814,1.1812,1.1813,1560.7
2025-09-18 02:19:00,1.1813,1.1813,1.1812,1.1813,926.5
2025-09-18 02:20:00,1.1814,1.1814,1.1813,1.1814,3167.6
2025-09-18 02:21:00,1.1813,1.1816,1.1813,1.1816,1512.9
2025-09-18 02:22:00,1.1815,1.1816,1.1815,1.1816,835.4
2025-09-18 02:23:00,1.1816,1.1817,1.1816,1.1817,3756.7
2025-09-18 02:24:00,1.1817,1.1817,1.1816,1.1817,1578.1
2025-09-18 02:25:00,1.1816,1.1818,1.1816,1.1817,4621.1
2025-09-18 02:26:00,1.1818,1.182,1.1818,1.1819,8252.3
2025-09-18 02:27:00,1.1819,1.182,1.1819,1.182,2763.8
2025-09-18 02:28:00,1.182,1.182,1.1818,1.1818,16035.7
2025-09-18 02:29:00,1.1819,1.182,1.1819,1.1819,4233.3
2025-09-18 02:30:00,1.1819,1.182,1.1819,1.182,26870.0
2025-09-18 02:31:00,1.182,1.182,1.1818,1.1819,16434.7
2025-09-18 02:32:00,1.1818,1.1819,1.1817,1.1818,9875.5
2025-09-18 02:33:00,1.1819,1.1819,1.1818,1.1818,4122.6
2025-09-18 02:34:00,1.1818,1.1818,1.1817,1.1818,6947.0
2025-09-18 02:35:00,1.1818,1.1819,1.1816,1.1817,12599.1
2025-09-18 02:36:00,1.1818,1.1818,1.1816,1.1817,4017.4
2025-09-18 02:37:00,1.1816,1.1817,1.1816,1.1816,4541.9
2025-09-18 02:38:00,1.1817,1.1818,1.1817,1.1817,10493.0
2025-09-18 02:39:00,1.1818,1.1819,1.1817,1.1818,3728.4
2025-09-18 02:40:00,1.1819,1.1819,1.1818,1.1818,2609.5
2025-09-18 02:41:00,1.1818,1.1818,1.1817,1.1817,3959.9
2025-09-18 02:42:00,1.1816,1.1817,1.1816,1.1817,1603.6
2025-09-18 02:43:00,1.1816,1.1817,1.1816,1.1816,889.7
2025-09-18 02:44:00,1.1817,1.1818,1.1816,1.1817,4257.5
2025-09-18 02:45:00,1.1817,1.1817,1.1816,1.1816,7520.4
2025-09-18 02:46:00,1.1816,1.1817,1.1815,1.1817,2592.0
2025-09-18 02:47:00,1.1817,1.1818,1.1816,1.1818,529.0
2025-09-18 02:48:00,1.1817,1.1818,1.1817,1.1817,1235.1
2025-09-18 02:49:00,1.1817,1.1818,1.1817,1.1818,1811.6
2025-09-18 02:50:00,1.1818,1.1818,1.1817,1.1818,11563.6
2025-09-18 02:51:00,1.1818,1.1819,1.1817,1.1818,2249.1
2025-09-18 02:52:00,1.1817,1.1819,1.1817,1.1819,1179.9
2025-09-18 02:53:00,1.1819,1.1819,1.1817,1.1817,1653.7
2025-09-18 02:54:00,1.1819,1.1819,1.1817,1.1817,664.8
2025-09-18 02:55:00,1.1818,1.1819,1.1817,1.1818,897.3
2025-09-18 02:56:00,1.1819,1.1819,1.1818,1.1819,1237.3
2025-09-18 02:57:00,1.1819,1.1819,1.1817,1.1819,2040.0
2025-09-18 02:58:00,1.1817,1.1819,1.1817,1.1817,1219.0
